CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CON16,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"16mm (1/2"")",M,1,2800,2800,26272,26272,,,29072,PF THREAD
CON22,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"22mm (3/4"")",M,1,3630,3630,36125,36125,,,39755,PF THREAD
CON28,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"28mm (1"")",M,1,4720,4720,45977,45977,,,50697,PF THREAD
CON36,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"36mm (11/4"")",M,1,6040,6040,65682,65682,,,71722,PF THREAD
CON42,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"42mm (11/2"")",M,1,6940,6940,82102,82102,,,89042,PF THREAD
CON54,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"54mm (2"")",M,1,9760,9760,111659,111659,,,121419,PF THREAD
CON70,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"70mm (21/2"")",M,1,12440,12440,144500,144500,,,156940,PF THREAD
CON82,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"82mm (3"")",M,1,14300,14300,177342,177342,,,191642,PF THREAD
CON104,물가정보지(3사),전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"104mm (4"")",M,1,23090,23090,233171,233171,,,256261,PF THREAD
