CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CON16,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"16mm (1/2"")",M,1,2800,2800,26272,26272,,,29072,PF THREAD
CON22,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"22mm (3/4"")",M,1,3630,3630,36125,36125,,,39755,PF THREAD
CON28,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"28mm (1"")",M,1,4720,4720,45977,45977,,,50697,PF THREAD
CON36,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"36mm (11/4"")",M,1,6040,6040,65682,65682,,,71722,PF THREAD
CON42,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"42mm (11/2"")",M,1,6940,6940,82102,82102,,,89042,PF THREAD
CON54,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"54mm (2"")",M,1,9760,9760,111659,111659,,,121419,PF THREAD
CON70,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"70mm (21/2"")",M,1,12440,12440,144500,144500,,,156940,PF THREAD
CON82,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"82mm (3"")",M,1,14300,14300,177342,177342,,,191642,PF THREAD
CON104,조사단가평균,전-5-1⑦,H.D.G STEEL CONDUIT W/ONE END COUPLING,"104mm (4"")",M,1,23090,23090,233171,233171,,,256261,PF THREAD
CONL16,납품업체단가,전-5-29,CONDUIT ELBOW CAST IRON H.D.G(LB/LL/LR) ,"16mm (1/2"")",EA,1,2910,2910,10947,10947,,,13857,FORM 7
